,Unnamed: 0.1,Unnamed: 0,Weatherfile,in.weather_file_city,in.state,power_grid,in.weather_file_latitude,in.weather_file_longitude,in.ashrae_iecc_climate_zone_2004,County_name,zipcode,tz,count,Res_state,Com_state,Res_Simu,Com_Simu,Res_total,Com_total
177,44,106,G5500250,Madison Dane Co Regional Arpt,WI,MISO,43.13,-89.33,6A,"WI, Dane County",53711,360,920,22219,23213,8901439.04,370422278.8,8559.49489,6574.096287
46,45,28,G1600190,Idaho Falls Fanning Field,ID,Northwest,43.52,-112.07,6B,"ID, Bonneville County",83401,420,168,9793,6842,2321788.238,62980642.27,1491.004512,937.4908662
43,46,29,G1600010,Boise Air Terminal  Uo,ID,Northwest,43.62,-116.21,5B,"ID, Ada County",83646,420,691,9793,6842,7037020.275,260378941.6,4519.02926,3875.839794
47,47,30,G1600270,Caldwell  Awos,ID,Northwest,43.63,-116.63,5B,"ID, Canyon County",83686,420,295,9793,6842,3285094.944,79100213.53,2109.620207,1177.436829
95,48,58,G3001110,Billings Logan IntL Arpt,MT,Northwest,45.8,-108.55,6B,"MT, Yellowstone County",59102,420,275,5756,5063,2885812.556,100600514.9,3599.961528,3371.436345
94,49,59,G3000630,Missoula International Ap,MT,Northwest,46.92,-114.1,6B,"MT, Missoula County",59801,420,212,5756,5063,1728330.385,50474681.17,2156.038472,1691.563655
102,50,72,G3200310,Reno Tahoe International Ap,NV,Northwest,39.48,-119.77,5B,"NV, Washoe County",89502,480,774,13509,12367,7196906.471,340697084,1788.720202,2117.064819
134,51,80,G4100170,Redmond Roberts Field,OR,Northwest,44.25,-121.17,5B,"OR, Deschutes County",97702,480,342,20445,23084,3718733.973,82616202.93,2914.687594,1832.390052
135,52,81,G4100510,Portland International Ap,OR,Northwest,45.6,-122.62,4C,"OR, Multnomah County",97206,480,1371,20445,23084,12949863.99,669226521.7,10149.90805,14843.14187
136,53,82,G4100670,Portland Hillsboro,OR,Northwest,45.53,-122.95,4C,"OR, Washington County",97229,480,907,20445,23084,9416364.371,288935916.4,7380.404355,6408.468076
171,54,103,G5300630,Felts Fld,WA,Northwest,47.68,-117.32,5B,"WA, Spokane County",99208,480,856,38940,30370,9239830.348,330662399.3,8249.012413,6317.797661
170,55,104,G5300330,Renton Muni AP,WA,Northwest,47.491,-122.216,4C,"WA, King County",98052,480,3644,38940,30370,34377390.21,1258849897,30690.98759,24052.20234
180,56,109,G5600210,Cheyenne Municipal Arpt,WY,Northwest,41.15,-104.8,6B,"WY, Laramie County",82001,420,172,2948,5046,1331337.587,66648083.61,1335.614955,2828.570923
182,57,110,G5600250,Casper Natrona Co Intl Ap,WY,Northwest,42.9,-106.47,6B,"WY, Natrona County",82601,420,147,2948,5046,1223813.542,48917448.57,1227.745453,2076.075787
118,58,74,G3600290,Buffalo Niagara Intl Ap,NY,NYISO,42.93,-78.73,5A,"NY, Erie County",14221,300,1739,50113,71422,11136093.29,536011370.8,16438.114,12280.5493
119,59,75,G3600610,New York-Central Park Observatory-Belevedere Castle,NY,NYISO,40.7793,-73.9691,4A,"NY, New York County",10025,300,3578,50113,71422,19703309.69,2399416564,29084.27959,54973.00057
31,60,18,G1100010,Washington Dc Reagan Ap,DC,PJM,38.87,-77.03,4A,"DC, District of Columbia",20002,300,1265,2372,7030,11920791.83,583575805.6,2372,7030
29,61,19,G1000030,Wilmington New Castle Cnty Ap,DE,PJM,39.67,-75.6,4A,"DE, New Castle County",19720,300,910,4932,4149,10814953.72,368123346.8,3189.534375,3376.368008
30,62,20,G1000050,Salisbury-Ocean City-Wicomico Rgnl AP,DE,PJM,38.333,-75.517,4A,"DE, Sussex County",19966,300,534,4932,4149,5908287.188,84239595.34,1742.465625,772.6319921
64,63,39,G2101110,Louisville Bowman Field,KY,PJM,38.23,-85.67,4A,"KY, Jefferson County",40214,300,1411,24553,19303,19172975.54,919967913,16913.93204,14903.6493
63,64,40,G2100670,Lexington Bluegrass Ap,KY,PJM,38.03,-84.6,4A,"KY, Fayette County",40509,300,573,24553,19303,8659350.343,271561776.7,7639.067963,4399.350701
71,65,45,G2400310,Washington Dc Reagan Ap,MD,PJM,38.87,-77.03,4A,"MD, Montgomery County",20906,300,1592,26108,27062,20021670.27,552004431.8,14190.65166,13711.96511
70,66,46,G2400050,Baltimore Blt Washngtn IntL,MD,PJM,39.17,-76.68,4A,"MD, Baltimore County",21117,300,1390,26108,27062,16814253.84,537434157.9,11917.34834,13350.03489
109,67,68,G3400030,Teterboro Airport,NJ,PJM,40.85,-74.07,5A,"NJ, Bergen County",7410,300,1464,28415,36083,11208204.68,635715509.7,10631.40156,12202.46591
110,68,69,G3400130,Newark International Arpt,NJ,PJM,40.72,-74.18,4A,"NJ, Essex County",7111,300,1297,28415,36083,8785669.426,593934765.6,8333.536221,11400.49066
125,69,76,G3900350,Cleveland Burke Lakefront AP,OH,PJM,41.517,-81.683,5A,"OH, Cuyahoga County",44107,300,2552,49714,46351,20916534.98,1147660973,10914.46965,11083.87029
127,70,77,G3900610,Cincinnati Municipal Ap Lunki,OH,PJM,39.1,-84.42,4A,"OH, Hamilton County",45238,300,1557,49714,46351,17729729.99,943868138.5,9251.561023,9115.681598
137,71,83,G4200030,Pittsburgh Allegheny Co Ap,PA,PJM,40.35,-79.92,5A,"PA, Allegheny County",15237,300,2432,52328,35802,18947919.05,1136260123,16089.9122,12579.70145
140,72,84,G4201010,Philadelphia Ne Philadelphia,PA,PJM,40.08,-75.02,4A,"PA, Philadelphia County",19143,300,2768,52328,35802,20292926.4,1251195950,17232.04555,13852.17275
168,73,99,G5100590,Davison Aaf,VA,PJM,38.72,-77.18,4A,"VA, Fairfax County",20171,300,1697,43096,73807,23030554.88,563162206.8,29028.44613,48494.1284
169,74,100,G5108100,Oceana Nas,VA,PJM,36.82,-76.03,4A,"VA, Virginia Beach city",23462,300,752,43096,73807,11160899.55,293958322.3,14067.55387,25312.8716
174,75,107,G5400390,Charleston Yeager Arpt,WV,PJM,38.38,-81.58,4A,"WV, Kanawha County",25177,300,381,10234,7174,4800494.682,177854850.5,3860.282062,2532.631523
172,76,108,G5400110,Huntington Tri State Arpt,WV,PJM,38.38,-82.55,4A,"WV, Cabell County",25701,300,192,10234,7174,2546268.535,179364204.8,2047.562887,2554.124546
0,77,0,G0100730,Birmingham Municipal Ap,AL,Southeast,33.57,-86.75,3A,"AL, Jefferson County",35215,360,1259,31410,22213,16806752.76,777000141,9346.801477,8845.690029
3,78,1,G0100970,Mobile Regional Ap,AL,Southeast,30.68,-88.25,2A,"AL, Mobile County",36695,360,750,31410,22213,10015732.71,330527685,5570.086416,3762.863471
36,79,21,G1200950,Orlando Executive Ap,FL,Southeast,28.55,-81.33,2A,"FL, Orange County",34787,300,2100,135805,97255,28434898.39,1252994198,17629.68895,15167.87514
35,80,22,G1200860,Miami Intl Ap,FL,Southeast,25.82,-80.3,1A,"FL, Miami-Dade County",33160,300,4146,135805,97255,51214877.81,2539571005,31753.31781,30742.27796
41,81,23,G1301210,Dekalb Peachtree,GA,Southeast,33.87,-84.3,3A,"GA, Fulton County",30318,300,1856,58412,51405,20799793.25,1286515463,26237.06965,30385.00048
40,82,24,G1300890,Dekalb Peachtree,GA,Southeast,33.87,-84.3,3A,"GA, DeKalb County",30058,300,1269,58412,51405,14503910.31,501931440.4,18295.37921,11854.6473
122,83,60,G3701830,Raleigh Durham International,NC,Southeast,35.87,-78.78,4A,"NC, Wake County",27610,300,1657,58738,48197,22573526.08,680163781.2,29553.22064,20217.07974
121,84,61,G3701190,Charlotte Douglas Intl Arpt,NC,Southeast,35.22,-80.95,3A,"NC, Mecklenburg County",28269,300,1732,58738,48197,22292100.96,941329243,29184.77936,27979.92026
143,85,86,G4500450,Greenville Downtown AP,SC,Southeast,34.85,-82.35,3A,"SC, Greenville County",29681,300,831,30898,25194,11336819.14,498430007.7,17347.00211,13174.52199
144,86,87,G4500510,Myrtle Beach Afb,SC,Southeast,33.68,-78.93,3A,"SC, Horry County",29579,300,800,30898,25194,8856009.315,454731376.2,13550.99789,12019.47801
148,87,90,G4700370,Nashville International Ap,TN,Southeast,36.12,-86.68,4A,"TN, Davidson County",37013,360,1217,41351,35094,17862399.27,740282959.9,9090.817124,8144.483286
153,88,91,G4701570,Memphis International Ap,TN,Southeast,35.07,-89.98,3A,"TN, Shelby County",38111,360,1664,41351,35094,23303695.98,1143761432,11860.08863,12583.49357
10,89,4,G0400250,Prescott Love Field,AZ,Southwest,34.65,-112.42,4B,"AZ, Yavapai County",86314,420,465,38992,32620,4783167.08,98338371.48,1602.20434,1010.520619
9,90,5,G0400150,Kingman  Amos,AZ,Southwest,35.27,-113.95,3B,"AZ, Mohave County",86442,420,462,38992,32620,4943270.774,99407708.23,1655.833834,1021.509075
8,91,6,G0400130,Phoenix Sky Harbor Intl Ap,AZ,Southwest,33.45,-111.98,2B,"AZ, Maricopa County",85281,420,6938,38992,32620,104806253.8,2910473432,35106.663,29907.89221
24,92,14,G0800310,Aurora Buckley Field Angb,CO,Southwest,39.72,-104.75,5B,"CO, Denver County",80211,420,1235,19999,20698,9948470.307,510297945.5,9550.167836,12195.97098
25,93,15,G0800410,Colorado Springs Muni Ap,CO,Southwest,38.82,-104.72,5B,"CO, El Paso County",80918,420,1096,19999,20698,10136787.96,330911775.8,9730.945897,7908.694224
112,94,70,G3500010,Albuquerque Intl Arpt  Isis,NM,Southwest,35.04,-106.62,4B,"NM, Bernalillo County",87111,420,1189,7336,9349,10643289.09,428994022.3,3837.610629,5975.311988
113,95,71,G3500130,Las Cruces Intl AP,NM,Southwest,32.283,-106.917,3B,"NM, Dona Ana County",88001,420,348,7336,9349,3271856.503,76259318.75,1179.720966,1062.190142
98,96,73,G3200030,Las Vegas Mccarran Intl Ap,NV,Southwest,36.08,-115.15,3B,"NV, Clark County",89052,480,3566,13509,12367,43887840.28,1566606424,10907.89033,9734.768805
162,97,97,G4900350,Salt Lake City IntL Arpt  Isis,UT,Southwest,40.77,-111.97,5B,"UT, Salt Lake County",84096,420,1555,11328,13338,13167918.01,689524830.1,6289.719976,8235.602558
164,98,98,G4900490,Provo Muni  Awos,UT,Southwest,40.22,-111.72,5B,"UT, Utah County",84043,420,654,11328,13338,5779021.485,272941982.5,2760.377673,3259.986575
61,99,37,G2000910,Olathe Johnson Co,KS,SPP,38.85,-94.73,4A,"KS, Johnson County",66062,360,962,13815,15727,12358579.76,585338144.2,6920.987192,8390.838965
62,100,38,G2001730,Wichita Mid Continent Ap,KS,SPP,37.65,-97.43,4A,"KS, Sedgwick County",67212,360,887,13815,15727,11669260.67,487496963.8,6534.958318,6988.282857
93,101,54,G2901890,St Louis Lambert IntL Arpt,MO,MISO,38.75,-90.37,4A,"MO, St. Louis County",63021,360,1810,5756,5063,22745093.44,993229264.6,3201.597412,2481.294289
92,102,55,G2900950,Kansas City Downtown Ap,MO,SPP,39.12,-94.6,4A,"MO, Jackson County",64055,360,1302,5756,5063,15867418.73,978097314.5,2233.496507,2443.491515
124,103,62,G3800170,Fargo Hector International Ap,ND,SPP,46.93,-96.82,7A,"ND, Cass County",58103,360,311,5067,10855,5062922.26,126967437.2,3624.426559,7051.112724
123,104,63,G3800150,Bismarck Municipal Arpt  Isis,ND,SPP,46.77,-100.77,6A,"ND, Burleigh County",58503,360,163,5067,10855,2015115.236,68495546.42,1442.573441,3803.887276
96,105,64,G3100550,Omaha Wsfo,NE,SPP,41.37,-96.02,5A,"NE, Douglas County",68022,360,938,10671,11261,11451894.08,400756027.4,6539.816389,7158.532205
97,106,65,G3101090,Lincoln Municipal Arpt,NE,SPP,40.83,-96.77,5A,"NE, Lancaster County",68516,360,517,10671,11261,7234129.263,229668408.1,4131.183611,4102.467795
132,107,78,G4001090,Oklahoma City Wiley,OK,SPP,35.53,-97.65,3A,"OK, Oklahoma County",73013,360,1363,23818,23117,19215283.54,844261156.2,13259.11919,12341.68063
133,108,79,G4001430,Tulsa International Airport,OK,SPP,36.2,-95.88,3A,"OK, Tulsa County",74012,360,1142,23818,23117,15302063.86,737110598,10558.88081,10775.31937
145,109,88,G4600990,Sioux Falls Foss Field,SD,SPP,43.58,-96.75,6A,"SD, Minnehaha County",57106,360,314,5246,5033,3632764.904,120560985.1,2788.969449,2882.206489
146,110,89,G4601030,Ellsworth Afb,SD,SPP,44.15,-103.1,6A,"SD, Pennington County",57701,420,193,5246,5033,2530891.287,75057819.55,1943.032006,1794.379287
37,111,,G1200990,West Palm Beach Intl Arpt,FL,Southeast,26.68,-80.1,2A,"FL, Palm Beach County",33411,300,2779,135805,97255,36287776.77,1125702374,22498.48789,13626.96897
33,112,,G1200570,Tampa International Ap,FL,Southeast,27.97,-82.53,2A,"FL, Hillsborough County",33647,300,2286,135805,97255,33278957.55,1031107813,20633.01448,12481.8731
38,113,,G1201030,St Petersburg Clear,FL,Southeast,27.9,-82.68,2A,"FL, Pinellas County",34698,300,2074,135805,97255,27032321.71,736009594.3,16760.08885,8909.619571
32,114,,G1200310,Jacksonville Nas,FL,Southeast,30.23,-81.67,2A,"FL, Duval County",32256,300,1630,135805,97255,23807913.61,864729156.3,14760.94993,10467.80895
34,115,,G1200710,Fort Myers Page Field,FL,Southeast,26.58,-81.87,2A,"FL, Lee County",34135,300,1552,135805,97255,18982931.29,483967732.2,11769.45208,5858.576318
175,116,,G5400610,Morgantown Hart Field,WV,PJM,39.65,-79.92,5A,"WV, Monongalia County",26505,300,182,10234,7174,2002816.122,54316070.44,1610.549675,773.4542625
176,117,,G5400810,Beckley Raleigh Co Mem Ap,WV,PJM,37.8,-81.12,5A,"WV, Raleigh County",25801,300,149,10234,7174,2092591.687,58432725.66,1682.742027,832.074934
173,118,,G5400330,Harrison Marion Rgn,WV,PJM,39.28,-80.23,5A,"WV, Harrison County",26301,300,130,10234,7174,1284428.166,33828569.72,1032.863348,481.7147344
107,119,,G3300130,Concord Municipal Arpt,NH,ISO-NE,43.2,-71.5,6A,"NH, Merrimack County",3301,300,261,4655,4051,1666415.29,66758878.02,630.9811305,506.5261377
105,120,,G3300090,Lebanon Municipal,NH,ISO-NE,43.63,-72.3,6A,"NH, Grafton County",3766,300,213,4655,4051,1026391.722,39184791.89,388.6389024,297.3105882
104,121,,G3300030,Laconia Muni  Awos,NH,ISO-NE,43.57,-71.42,6A,"NH, Carroll County",3894,300,165,4655,4051,914183.1788,25045752.17,346.1516101,190.032075
150,122,,G4700930,Knoxville Mcghee Tyson Ap,TN,Southeast,35.82,-83.98,4A,"TN, Knox County",37920,300,820,41351,35094,12498439.04,433526949.7,6360.904934,4769.599176
149,123,,G4700650,Chattanooga Lovell Field Ap,TN,Southeast,35.03,-85.2,4A,"TN, Hamilton County",37421,300,639,41351,35094,9907548.623,432849738.4,5042.30766,4762.148599
152,124,,G4701490,Nashville International Ap,TN,Southeast,36.12,-86.68,4A,"TN, Rutherford County",37128,360,451,41351,35094,7622061.116,197644715.7,3879.140907,2174.457837
151,125,,G4701250,Fort Campbell Aaf,TN,Southeast,36.67,-87.48,4A,"TN, Montgomery County",37042,360,316,41351,35094,5399654.114,96933820.13,2748.078091,1066.451507
154,126,,G4701870,Nashville International Ap,TN,Southeast,36.12,-86.68,4A,"TN, Williamson County",37064,360,305,41351,35094,4656111.755,144827078.3,2369.662655,1593.366027
117,127,,G3500490,Santa Fe Muni AP,NM,Southwest,35.617,-106.083,5B,"NM, Santa Fe County",87507,420,295,7336,9349,2088195.387,63225302.77,752.9327392,880.6437618
115,128,,G3500430,Albuquerque Intl Arpt  Isis,NM,Southwest,35.04,-106.62,5B,"NM, Sandoval County",87124,420,223,7336,9349,1822049.193,45157221.7,656.9694093,628.9795992
116,129,,G3500450,Farmington Four Corners Regl,NM,Southwest,36.75,-108.23,5B,"NM, San Juan County",87401,420,205,7336,9349,1443191.72,32114123.26,520.3661986,447.3067123
114,130,,G3500350,Holloman Afb,NM,Southwest,32.85,-106.1,3B,"NM, Otero County",88310,420,128,7336,9349,1077194.77,25455987.14,388.4000577,354.5677964
84,131,,G2800330,Memphis International Ap,MS,MISO,35.07,-89.98,3A,"MS, DeSoto County",38654,360,264,18544,14231,3985783.789,206582206,3007.176728,2986.656379
90,132,,G2801210,Jackson International Ap,MS,MISO,32.32,-90.08,3A,"MS, Rankin County",39047,360,240,18544,14231,3361380.025,105744584.2,2536.079306,1528.799324
89,133,,G2800890,Jackson International Ap,MS,MISO,32.32,-90.08,3A,"MS, Madison County",39110,360,169,18544,14231,2307658.768,115801463.8,1741.072298,1674.196376
88,134,,G2800810,Tupelo C D Lemons Arpt,MS,MISO,34.27,-88.77,3A,"MS, Lee County",38801,360,150,18544,14231,2040446.107,65723813.78,1539.466858,950.2001721
87,135,,G2800750,Meridian Key Field,MS,MISO,32.33,-88.75,3A,"MS, Lauderdale County",39301,360,144,18544,14231,1910074.362,82747671.68,1441.104554,1196.322114
126,136,,G3900490,Ohio State Universi,OH,PJM,40.07,-83.07,5A,"OH, Franklin County",43081,300,2230,49714,46351,22440354.36,1164232355,11709.61475,11243.91323
129,137,,G3901130,Dayton International Airport,OH,PJM,39.9,-84.22,5A,"OH, Montgomery County",45424,300,1048,49714,46351,11459232.62,520172987.9,5979.549038,5023.722213
131,138,,G3901530,Akron Akron Canton Reg Ap,OH,PJM,40.92,-81.43,5A,"OH, Summit County",44224,300,1011,49714,46351,8808498.8,421207601.5,4596.368034,4067.935154
128,139,,G3900950,Toledo Express Airport,OH,PJM,41.58,-83.8,5A,"OH, Lucas County",43615,300,835,49714,46351,7825554.485,380887579.9,4083.457273,3678.532796
130,140,,G3901510,Akron Akron Canton Reg Ap,OH,PJM,40.92,-81.43,5A,"OH, Stark County",44646,300,684,49714,46351,6092210.938,221307815.4,3178.980238,2137.344718
2,141,,G0100890,Huntsville Intl Jones Field,AL,Southeast,34.65,-86.78,3A,"AL, Madison County",35758,360,637,31410,22213,10085869.31,243361304.6,5609.091742,2770.525451
4,142,,G0101010,Maxwell Afb,AL,Southeast,32.38,-86.35,3A,"AL, Montgomery County",36117,360,427,31410,22213,5722587.794,221916977.6,3182.523882,2526.394388
6,143,,G0101250,Tuscaloosa Municipal Ap,AL,Southeast,33.22,-87.62,3A,"AL, Tuscaloosa County",35401,360,363,31410,22213,4794546.42,139447014.1,2666.408805,1587.522315
5,144,,G0101170,Birmingham Municipal Ap,AL,Southeast,33.57,-86.75,3A,"AL, Shelby County",35242,360,344,31410,22213,5127890.116,147678492.3,2851.792466,1681.232857
1,145,,G0100810,Auburn Opelika Apt,AL,Southeast,32.62,-85.43,3A,"AL, Lee County",36830,360,269,31410,22213,3925845.962,91245068.57,2183.295212,1038.771489
65,146,,G2200170,Shreveport Regional Arpt,LA,MISO,32.45,-93.82,3A,"LA, Caddo Parish",71106,360,466,31747,23743,6312885.439,225485920.8,7603.856588,4817.119014
39,147,,G1300510,Hunter Aaf,GA,Southeast,32,-81.15,2A,"GA, Chatham County",31419,300,503,58412,51405,6839285.143,295788632.4,8627.143478,6985.953919
42,148,,G1301390,Rome R B Russell Ap,GA,Southeast,34.35,-85.17,4A,"GA, Hall County",30542,300,288,58412,51405,4163917.496,92276766.91,5252.407659,2179.398296
111,149,,G3400230,Newark International Arpt,NJ,PJM,40.72,-74.18,4A,"NJ, Middlesex County",8831,300,1233,28415,36083,9962772.165,650176549,9450.062217,12480.04344
165,150,,G4900530,Saint George  Awos,UT,Southwest,37.08,-113.6,3B,"UT, Washington County",84770,420,258,11328,13338,2950008.737,84230621.08,1409.085997,1006.04052
161,151,,G4900050,Malad City AP,UT,Southwest,42.15,-112.283,6B,"UT, Cache County",84321,420,162,11328,13338,1120362.144,41475754.39,535.1464181,495.3814772
163,152,,G4900430,Evanston-Uinta County AP-Burns Field,UT,Southwest,41.283,-111.033,6B,"UT, Summit County",84098,420,112,11328,13338,698558.6592,28549251.94,333.6699355,340.9888695
139,153,,G4200710,Lancaster AP,PA,PJM,40.117,-76.3,5A,"PA, Lancaster County",17603,300,851,52328,35802,9675633.8,399365159.5,8216.210865,4421.429896
141,154,,G4201290,Pittsburgh Allegheny Co Ap,PA,PJM,40.35,-79.92,5A,"PA, Westmoreland County",15601,300,693,52328,35802,6206480.439,200115440.3,5270.326789,2215.507211
138,155,,G4200110,Reading Spaatz Field,PA,PJM,40.37,-75.97,5A,"PA, Berks County",19606,300,678,52328,35802,6499919.011,246874962.1,5519.504593,2733.188693
44,156,,G1600050,Pocatello Regional Ap,ID,Northwest,42.92,-112.57,6B,"ID, Bannock County",83201,420,138,9793,6842,1471022.645,29739253.73,944.6603978,442.6801275
45,157,,G1600170,Kalispell Glacier Pk IntL Ar,ID,Northwest,48.32,-114.25,6B,"ID, Bonner County",83864,480,101,9793,6842,1134707.303,27446551.67,728.6856227,408.5523833
74,158,,G2600550,Traverse City Cherry Capital,MI,MISO,44.73,-85.58,6A,"MI, Grand Traverse County",49686,300,175,32534,36534,1186715.512,49467320.11,1064.399525,1012.867149
77,159,,G2601030,Escanaba  Awos,MI,MISO,45.75,-87.03,6A,"MI, Marquette County",49855,300,142,32534,36534,914378.162,21187337.69,820.1322654,433.82092
75,160,,G2600730,Houghton Lake Roscommon Co Ar,MI,MISO,44.37,-84.68,6A,"MI, Isabella County",48858,300,117,32534,36534,791878.3552,14937453.28,710.2586395,305.8515335
78,161,,G2601230,Cadillac Wexford Co Ap,MI,MISO,44.28,-85.42,6A,"MI, Newaygo County",49337,300,103,32534,36534,722400.8656,10141841.78,647.9422662,207.6590838
